B,D,LoverB,gamma,degree,qu
0.15,0,1,17.1,42.8,214
0.2,0,1,17.1,42.8,266
0.25,0,1,17.1,42.8,333
0.3,0,1,17.1,42.8,404
0.03,0,1,15.89,42,52
0.04,0,1,15.89,42,92
0.05,0,1,15.89,42,95
0.06,0,1,13.2,32,14
0.06,0,1,14.8,42,72
0.06,0,1,15.4,42,106
1,0,1,19.5,38.75,377
1,0,1,19.5,38.75,368
1,0,1,19.5,38.75,335
1,0,1,19.5,38.75,305
1,0,1,19.5,38.75,400
1,0,1,19.5,38.75,296
1,0,1,19.5,38.75,390
1,0,1,19.5,38.75,435
0.71,0,1,19.5,38.75,438.4
1,0,1,16.8,40.55,773
1,0,1,16.8,40.55,685
1,0,1,16.8,40.55,560
1,0,1,16.8,40.55,500
1,0,1,16.8,40.55,598
1,0,1,16.8,40.55,584
1,0,1,16.8,40.55,716
1,0,1,16.8,40.55,825
1,0,1,16.8,40.55,922
1,0,1,16.8,40.55,659
1,0,1,16.8,40.55,640
1,0,1,16.8,40.55,626
1,0,1,16.8,40.55,726
1,0,1,16.8,40.55,927
0.7,0,1,16.8,40.55,612.25
0.75,0,1,20.8,44.95,856.9
0.75,0,1,20.8,44.95,1020.44
0.45,0,1,20.8,44.95,953.09
0.45,0,1,20.8,44.95,454.32
0.3,0,1,20.8,45.7,422.23
0.3,0,1,20.8,45.7,600
0.3,0,1,20.8,45.7,900
0.3,0,1,20.8,45.7,1688.89
0.91,0,1,14.6,31.95,324.84
0.61,0,1,14.6,31.95,94.06
0.61,0,1,14.6,31.95,196.18
0.61,0,1,14.6,31.95,322.49
0.46,0,1,14.6,31.95,259.92
0.61,0,1,19,37,257.99
0.8,0,1,17.1,39.75,348.44
0.63,0,1,17.1,39.75,365.33
0.46,0,1,17.1,39.75,103.97
0.31,0,1,15.8,37.9,478.67
1.2,0,1,20.4,41,1129.86
1.2,0,1,20.4,41,978.47
0.3,0,1,20.4,41,1277.78
0.3,0,1,20.4,41,522.22
0.3,0,1,20.4,41,811.11
0.3,0,1,20.4,41,333.33
0.3,0,1,20.4,41,233.33
0.76,0,1,16.2,40.8,744.46
0.31,0,1,16.2,40.8,260.15
0.31,0,1,16.2,40.8,468.26
1,0.71,1,15.5,35.3,1550
1.5,0.76,1,15.5,35.3,1355.56
2.5,0.76,1,15.5,35.3,1152
3,0.76,1,15.5,35.3,1144.44
3,0.89,1,15.5,35.3,1011.11
